"Data";"BR"
"2020-10-30 00:00:00";508
"2020-10-31 00:00:00";407
"2020-11-01 00:00:00";190
"2020-11-02 00:00:00";179
"2020-11-03 00:00:00";243
"2020-11-04 00:00:00";610
"2020-11-05 00:00:00";630
"2020-11-06 00:00:00";302
"2020-11-07 00:00:00";231
"2020-11-08 00:00:00";128
"2020-11-09 00:00:00";231
"2020-11-10 00:00:00";201
"2020-11-11 00:00:00";544
"2020-11-12 00:00:00";908
"2020-11-13 00:00:00";456
"2020-11-14 00:00:00";921
"2020-11-15 00:00:00";140
"2020-11-16 00:00:00";216
"2020-11-17 00:00:00";685
"2020-11-18 00:00:00";756
"2020-11-19 00:00:00";606
"2020-11-20 00:00:00";552
"2020-11-21 00:00:00";376
"2020-11-22 00:00:00";194
"2020-11-23 00:00:00";302
"2020-11-24 00:00:00";630
"2020-11-25 00:00:00";654
"2020-11-26 00:00:00";691
"2020-11-27 00:00:00";514
"2020-11-28 00:00:00";587
"2020-11-29 00:00:00";272
"2020-11-30 00:00:00";287
"2020-12-01 00:00:00";697
"2020-12-02 00:00:00";698
"2020-12-03 00:00:00";755
"2020-12-04 00:00:00";694
"2020-12-05 00:00:00";664
"2020-12-06 00:00:00";313
"2020-12-07 00:00:00";376
"2020-12-08 00:00:00";842
"2020-12-09 00:00:00";836
"2020-12-10 00:00:00";770
"2020-12-11 00:00:00";672
"2020-12-12 00:00:00";686
"2020-12-13 00:00:00";279
"2020-12-14 00:00:00";433
"2020-12-15 00:00:00";964
"2020-12-16 00:00:00";936
"2020-12-17 00:00:00";1092
"2020-12-18 00:00:00";823
"2020-12-19 00:00:00";706
"2020-12-20 00:00:00";408
"2020-12-21 00:00:00";527
"2020-12-22 00:00:00";968
"2020-12-23 00:00:00";961
"2020-12-24 00:00:00";0
"2020-12-25 00:00:00";482
"2020-12-26 00:00:00";307
"2020-12-27 00:00:00";344
"2020-12-28 00:00:00";431
"2020-12-29 00:00:00";1111
"2020-12-30 00:00:00";1194
"2020-12-31 00:00:00";1074
"2021-01-01 00:00:00";462
"2021-01-02 00:00:00";314
